date,open,close,high,low,volume,change,pct_change
2016-04-14,3277.1000,3275.8300,3286.0700,3252.0500,113157327,14.4500,0.0044
2016-04-15,3279.8600,3272.2100,3282.9800,3261.7300,99807529,-3.6200,-0.0011
2016-04-18,3252.6700,3228.4500,3252.6700,3221.6600,97090069,-43.7600,-0.0134
2016-04-19,3243.9700,3238.3000,3250.7300,3221.5800,80871440,9.8500,0.0031
2016-04-20,3244.1400,3181.0300,3248.4200,3107.3700,162207858,-57.2700,-0.0177
2016-04-21,3160.8000,3160.6000,3198.5600,3150.9400,104752651,-20.4300,-0.0064
2016-04-22,3142.5600,3174.9000,3175.3800,3137.9900,77078492,14.3000,0.0045
2016-04-25,3164.7400,3162.0300,3172.2700,3137.1100,67519351,-12.8700,-0.0041
2016-04-26,3159.7700,3179.1600,3181.1000,3150.4000,59020734,17.1300,0.0054
2016-04-27,3181.9300,3165.9200,3188.8300,3162.6900,60004147,-13.2400,-0.0042
2016-04-28,3169.3300,3160.5800,3174.7700,3135.6400,69870660,-5.3400,-0.0017
2016-04-29,3153.5400,3156.7500,3171.2900,3149.4000,58029776,-3.8300,-0.0012
2016-05-03,3159.8200,3213.5400,3218.4900,3151.4000,98164835,56.7900,0.0180
2016-05-04,3203.4700,3209.4600,3222.8800,3198.2900,90862408,-4.0800,-0.0013
2016-05-05,3204.1700,3213.9200,3217.2800,3196.5700,74733681,4.4600,0.0014
2016-05-06,3213.1400,3130.3500,3216.8900,3130.1500,108680240,-83.5700,-0.0260
2016-05-09,3115.4300,3065.6200,3115.4300,3055.0100,99230477,-64.7300,-0.0207
2016-05-10,3055.2100,3069.1100,3084.7200,3055.1800,68849935,3.4900,0.0011
2016-05-11,3080.6400,3082.8100,3102.8800,3063.0900,81794258,13.7000,0.0045
2016-05-12,3059.3800,3090.1400,3095.3500,3035.0200,78765726,7.3300,0.0024
2016-05-13,3081.6800,3074.9400,3103.1000,3064.6900,62629755,-15.2000,-0.0049
2016-05-16,3064.5300,3095.3100,3095.5600,3053.6600,59461856,20.3700,0.0066
2016-05-17,3095.5200,3086.0200,3105.2000,3073.4600,65278125,-9.2900,-0.0030
2016-05-18,3071.5300,3068.0400,3072.6100,3039.4600,82715369,-17.9800,-0.0058
2016-05-19,3060.3400,3062.5000,3086.9800,3058.1500,60444166,-5.5400,-0.0018
